x                    y
5561.596778578969861 4765.535170960606592
2908.191307746984421 8628.450869139007409
3371.278523826690616 13184.408943565933441
5174.052215115901163 16968.399175068603654
7662.625967209437476 9602.586693973171350
8013.464015301214204 14040.688566252039891
10855.608759292059403 4807.250113898016025
11500.917025543996715 10802.471186801580188
13289.667439436881978 15464.763154948108422
11547.634075544679945 19170.256380450791767
15717.319765750788065 3720.406961367426447
15538.887401402418618 10884.653017719956551
15657.727128099995753 19722.998023140993610
18667.723076045120251 6443.499339031325690
19676.072806799063983 11447.458577503675770
18756.359239003493713 17177.645569203341438
