x                    y                    z
5587.926663554641891 4487.466042084749461 3496.230204509062787
3505.429627671223898 3587.420256493426677 9073.271231589962554
4373.566523496495392 6452.682112408955618 14291.658923917395441
5526.553700294419286 12004.732074011764780 12084.297501342556643
3538.555138291502772 14040.694826482285862 6769.870939577330319
4247.058376237196171 15668.016474673637276 16667.624495974032470
9937.687384892647970 6902.397494875168377 16927.248269107421947
9023.176148355349142 7792.907907652424001 9579.776406726690766
8933.356946038031310 14053.011027245993319 3746.709485328859046
7946.197670996983106 17297.234866122780659 10026.166483081673505
11551.676576035453763 5668.598297278806967 3557.475919481242272
13579.897516024419019 14323.590248240623623 7908.885334810126551
11836.538812616538053 15036.050722853662592 15617.610810758447769
17209.257155952982430 3606.646528043292165 4964.704227150980842
15158.002570127115177 4272.194883925020804 13849.453251387920318
16205.322791474416590 9563.559977634624374 4050.784849727829169
15201.305659763551375 10572.216913130927423 12787.767875119749078
17197.882770915315632 16883.225170475925552 3682.324939775394341
16610.509524541153951 17262.808554634873872 12402.399532648698369
