x                  y                  z
44.457009524055536 36.286778525539660 90.158136621802328
23.923051790710744 68.342112828934788 40.737350851851161
29.963542334593797 64.676262421602601 115.445951372236379
36.615323645808957 104.682783008338504 25.221309709852477
40.103997250133304 104.603802747491613 67.160789992428789
39.207994339426278 112.304843084690617 112.479482588091344
48.870461214766507 31.448729320751667 43.622632966608236
69.058105540932132 62.329179308558210 60.361734738706332
69.274037835917909 79.534828288224134 23.902354895801338
86.551776146015499 26.096899194167023 66.696591104154336
72.287556677585727 65.434298344087935 108.255714552601034
88.180489827870190 110.632343956929844 86.500224422498121
106.381564339644513 29.854741904583520 107.699359638914785
101.289863520680086 48.049750501588903 33.345565101427368
111.272876250255251 56.502932541632404 75.040776574891012
115.376070739618939 84.335064190732112 105.923327228971601
101.340692266745691 101.788754262591482 38.394804025711011
