x                    y                    z
3211.018594553646835 4355.191585054755706 5168.416331392978464
3940.526976995168297 3066.812879964347303 10044.405416153118495
4725.901189064794380 4566.171646192717162 16508.788354535477993
4137.440691394049281 7962.286300508631030 11690.630290768171108
3276.095429923452684 10712.791288618205726 16268.496930165638332
2935.322349253943685 13177.853170330559806 5697.567877658209909
3055.886816521800938 17315.607882947129838 2891.149065477562544
5288.553617562321961 16785.564531010659266 9729.884163163897028
4232.760743666838607 15619.955563500847347 15136.656969903629943
8012.923789628084705 3665.076156155966601 6437.030024991474420
6016.124657757620298 8346.817063200243865 4001.831121782794071
8589.572732002457997 12372.495595779470023 5672.422524762099783
7701.389951603981899 11927.677782359463890 14117.702626885198697
8104.384268467680158 16955.659624730811629 3503.716518103628914
11257.081325939932867 3751.496716790132268 11899.810090022081567
10926.648553680264740 3095.229535243954160 16954.593967919332499
8938.051765746537058 8131.483601796715448 9892.139804780999839
9209.565374782547224 7888.440938519619522 16882.593893042088894
10845.410760294384090 13984.296512299024471 10600.302882143892930
10426.161511932559733 16793.305483191630628 15358.942534259382228
11666.032636397991155 7920.974099400795239 4962.614341460550349
13582.950253974824591 10436.090165652527503 14471.563216464313882
13271.322469980204914 16040.029182706068241 3790.562811905030685
15164.891766346780059 4313.758752621446547 4678.199878911271298
15633.678821422683541 3099.171296388665723 14779.485130294524424
15856.070403618559794 6975.206144898102139 9776.947411435996401
17268.473170799799846 7258.688948634951885 17273.336795276223711
16034.139482879974821 10489.111345710314708 5546.778962391768800
16340.946663849641482 15215.160216403248342 9750.227623352104274
16178.194258568382793 15717.169779077321436 14960.007267172819411
