#time Xenon_content radius partial_radius Xenon_gb
0 196.73 1.574 1.574 0
0.1 196.73 1.574 1.574 6.20809e-07
1.1 196.73 1.5741 1.5741 6.82873e-06
10 196.73 1.57497 1.57497 6.20637e-05
10 196.73 1.57497 1.57497 6.20637e-05
17.3695 196.73 1.57569 1.57569 0.000107623
17.3695 196.73 1.57569 1.57569 0.000107623
21.8953 196.73 1.57612 1.57612 0.000135514
21.8953 196.73 1.57612 1.57612 0.000135514
25.7422 196.73 1.5765 1.5765 0.000159179
25.7422 196.73 1.5765 1.5765 0.000159179
29.0121 196.73 1.57681 1.57681 0.000179233
29.0121 196.73 1.57681 1.57681 0.000179233
31.7915 196.73 1.57708 1.57708 0.000196264
31.7915 196.73 1.57708 1.57708 0.000196264
34.5709 196.73 1.57735 1.57735 0.000213263
34.5709 196.73 1.57735 1.57735 0.000213263
37.3503 196.73 1.57761 1.57761 0.000230231
37.3503 196.73 1.57761 1.57761 0.000230231
40.1297 196.73 1.57788 1.57788 0.000247175
40.1297 196.73 1.57788 1.57788 0.000247175
42.4922 196.73 1.57811 1.57811 0.000261552
42.4922 196.73 1.57811 1.57811 0.000261552
44.1991 196.73 1.57827 1.57827 0.000271932
44.1991 196.73 1.57827 1.57827 0.000271932
45.906 196.73 1.57843 1.57843 0.000282307
45.906 196.73 1.57843 1.57843 0.000282307
47.3569 196.73 1.57857 1.57857 0.000291122
47.3569 196.73 1.57857 1.57857 0.000291122
48.5901 196.73 1.57869 1.57869 0.000298605
48.5901 196.73 1.57869 1.57869 0.000298605
49.8234 196.73 1.57881 1.57881 0.000306086
49.8234 196.73 1.57881 1.57881 0.000306086
51.0566 196.73 1.57892 1.57892 0.00031356
51.0566 196.73 1.57892 1.57892 0.00031356
52.2898 196.73 1.57904 1.57904 0.000321028
52.2898 196.73 1.57904 1.57904 0.000321028
53.3381 196.73 1.57914 1.57914 0.000327373
53.3381 196.73 1.57914 1.57914 0.000327373
54.3863 196.73 1.57924 1.57924 0.000333713
54.3863 196.73 1.57924 1.57924 0.000333713
55.4346 196.73 1.57934 1.57934 0.000340048
55.4346 196.73 1.57934 1.57934 0.000340048
56.4828 196.73 1.57944 1.57944 0.000346372
56.4828 196.73 1.57944 1.57944 0.000346372
57.5311 196.73 1.57954 1.57954 0.000352692
57.5311 196.73 1.57954 1.57954 0.000352692
58.5793 196.73 1.57964 1.57964 0.000359011
58.5793 196.73 1.57964 1.57964 0.000359011
59.6276 196.73 1.57974 1.57974 0.000365328
59.6276 196.73 1.57974 1.57974 0.000365328
60.6758 196.73 1.57984 1.57984 0.000371641
60.6758 196.73 1.57984 1.57984 0.000371641
61.7241 196.73 1.57994 1.57994 0.000377947
61.7241 196.73 1.57994 1.57994 0.000377947
62.7723 196.73 1.58004 1.58004 0.000384248
62.7723 196.73 1.58004 1.58004 0.000384248
63.8206 196.73 1.58014 1.58014 0.000390547
63.8206 196.73 1.58014 1.58014 0.000390547
64.8688 196.73 1.58023 1.58023 0.000396844
64.8688 196.73 1.58023 1.58023 0.000396844
65.9171 196.73 1.58033 1.58033 0.000403136
65.9171 196.73 1.58033 1.58033 0.000403136
66.9653 196.73 1.58043 1.58043 0.000409427
66.9653 196.73 1.58043 1.58043 0.000409427
68.0136 196.73 1.58053 1.58053 0.000415712
68.0136 196.73 1.58053 1.58053 0.000415712
68.9046 196.73 1.58061 1.58061 0.000421048
68.9046 196.73 1.58061 1.58061 0.000421048
69.662 196.73 1.58069 1.58069 0.000425583
69.662 196.73 1.58069 1.58069 0.000425583
70.3057 196.73 1.58075 1.58075 0.000429434
70.3057 196.73 1.58075 1.58075 0.000429434
70.9495 196.73 1.58081 1.58081 0.000433285
70.9495 196.73 1.58081 1.58081 0.000433285
71.5932 196.73 1.58087 1.58087 0.000437135
71.5932 196.73 1.58087 1.58087 0.000437135
72.237 196.73 1.58093 1.58093 0.000440985
72.237 196.73 1.58093 1.58093 0.000440985
72.8807 196.73 1.58099 1.58099 0.000444834
72.8807 196.73 1.58099 1.58099 0.000444834
73.5245 196.73 1.58105 1.58105 0.00044868
73.5245 196.73 1.58105 1.58105 0.00044868
74.1683 196.73 1.58111 1.58111 0.000452525
74.1683 196.73 1.58111 1.58111 0.000452525
74.812 196.73 1.58117 1.58117 0.00045637
74.812 196.73 1.58117 1.58117 0.00045637
75.4558 196.73 1.58123 1.58123 0.000460212
75.4558 196.73 1.58123 1.58123 0.000460212
76.0995 196.73 1.58129 1.58129 0.000464053
76.2283 196.73 1.5813 1.5813 0.000464821
76.2283 196.73 1.5813 1.5813 0.000464821
77.0008 196.73 1.58138 1.58138 0.00046943
77.1553 196.73 1.58139 1.58139 0.000470351
77.1553 196.73 1.58139 1.58139 0.000470351
78.0823 196.73 1.58148 1.58148 0.00047588
78.0823 196.73 1.58148 1.58148 0.00047588
79.0093 196.73 1.58156 1.58156 0.000481408
79.0093 196.73 1.58156 1.58156 0.000481408
79.9363 196.73 1.58165 1.58165 0.000486931
79.9363 196.73 1.58165 1.58165 0.000486931
80.8633 196.73 1.58174 1.58174 0.000492453
80.8633 196.73 1.58174 1.58174 0.000492453
81.7903 196.73 1.58182 1.58182 0.000497973
81.7903 196.73 1.58182 1.58182 0.000497973
82.7173 196.73 1.58191 1.58191 0.000503492
82.7173 196.73 1.58191 1.58191 0.000503492
83.6444 196.73 1.582 1.582 0.00050901
83.6444 196.73 1.582 1.582 0.00050901
84.5714 196.73 1.58208 1.58208 0.000514526
84.5714 196.73 1.58208 1.58208 0.000514526
85.4984 196.73 1.58217 1.58217 0.000520041
85.4984 196.73 1.58217 1.58217 0.000520041
86.4254 196.73 1.58226 1.58226 0.000525555
86.4254 196.73 1.58226 1.58226 0.000525555
87.2133 196.73 1.58233 1.58233 0.000530238
87.2133 196.73 1.58233 1.58233 0.000530238
88.0013 196.73 1.58241 1.58241 0.000534918
88.0013 196.73 1.58241 1.58241 0.000534918
88.7893 196.73 1.58248 1.58248 0.000539598
88.7893 196.73 1.58248 1.58248 0.000539598
89.5772 196.73 1.58255 1.58255 0.000544276
89.7348 196.73 1.58257 1.58257 0.000545212
89.7348 196.73 1.58257 1.58257 0.000545212
90.6804 196.73 1.58266 1.58266 0.000550825
90.6804 196.73 1.58266 1.58266 0.000550825
91.6259 196.73 1.58274 1.58274 0.000556436
91.6259 196.73 1.58274 1.58274 0.000556436
92.5715 196.73 1.58283 1.58283 0.000562043
92.5715 196.73 1.58283 1.58283 0.000562043
93.517 196.73 1.58292 1.58292 0.000567648
93.517 196.73 1.58292 1.58292 0.000567648
94.4626 196.73 1.58301 1.58301 0.000573253
94.4626 196.73 1.58301 1.58301 0.000573253
95.4081 196.73 1.5831 1.5831 0.000578855
95.4081 196.73 1.5831 1.5831 0.000578855
96.3537 196.73 1.58318 1.58318 0.00058445
96.3537 196.73 1.58318 1.58318 0.00058445
97.2992 196.73 1.58327 1.58327 0.000590044
97.2992 196.73 1.58327 1.58327 0.000590044
98.2448 196.73 1.58336 1.58336 0.000595633
98.2448 196.73 1.58336 1.58336 0.000595633
99.1903 196.73 1.58345 1.58345 0.000601217
99.3794 196.73 1.58347 1.58347 0.000602334
99.3794 196.73 1.58347 1.58347 0.000602334
100.514 196.73 1.58357 1.58357 0.000609031
100.514 196.73 1.58357 1.58357 0.000609031
101.649 196.73 1.58368 1.58368 0.000615727
101.649 196.73 1.58368 1.58368 0.000615727
102.783 196.73 1.58378 1.58378 0.000622417
102.783 196.73 1.58378 1.58378 0.000622417
103.918 196.73 1.58389 1.58389 0.000629101
103.918 196.73 1.58389 1.58389 0.000629101
105.053 196.73 1.58399 1.58399 0.000635783
105.053 196.73 1.58399 1.58399 0.000635783
106.187 196.73 1.5841 1.5841 0.000642459
106.187 196.696 1.58409 1.58409 0.000642459
107.322 196.696 1.58419 1.58419 0.000649122
107.322 196.696 1.58419 1.58419 0.000649122
108.457 196.696 1.5843 1.5843 0.000655783
108.457 196.696 1.5843 1.5843 0.000655783
109.591 196.696 1.5844 1.5844 0.000662442
109.591 196.696 1.5844 1.5844 0.000662442
110.726 196.696 1.58451 1.58451 0.000669099
110.726 196.696 1.58451 1.58451 0.000669099
111.861 196.696 1.58461 1.58461 0.000675751
111.861 196.696 1.58461 1.58461 0.000675751
112.995 196.696 1.58472 1.58472 0.000682404
112.995 196.696 1.58472 1.58472 0.000682404
114.13 196.696 1.58482 1.58482 0.000689056
114.13 196.662 1.58482 1.58482 0.000689056
115.265 196.662 1.58492 1.58492 0.000695698
115.492 196.662 1.58494 1.58494 0.000697026
115.492 196.662 1.58494 1.58494 0.000697026
116.853 196.662 1.58507 1.58507 0.000704993
