x                   y
293.943742834584612 420.885655560500084
290.854581782684306 723.487502692714543
220.045095232263691 1127.872248366152007
301.479531576207989 1473.878667972909852
227.474370949993215 1993.891889434742779
218.233352621302231 2339.804069191600320
347.604309814870874 3152.765980744361059
290.972968398431078 3495.172337537370822
214.960622913621989 3814.879562146698845
593.902648254133055 426.515329519658678
578.968802854895785 849.323830613939208
500.270950295270211 1235.148913248504414
622.817634858638030 1509.878118806866496
493.290336664389372 1811.214086272088707
544.884365594861265 2165.449580508232430
466.178517156383748 2731.931355669266395
575.047061697848903 3801.815484849888890
820.866034554341695 225.394576113075175
818.139452038477202 642.186044658395076
800.313277774489961 1224.190363727600015
639.343288061735393 2472.328728201354807
795.521306794545353 2838.396687243372071
833.720349216812110 3248.974611139244644
803.780115349975404 3582.249237775874008
1027.848438436543120 856.802202812279120
904.627525131925950 1703.504289560431744
977.773905215434525 2017.043491882245917
911.379041773691370 2333.438963700521526
1126.442738704140311 287.421268375894385
1174.562409517517153 1132.104392579299201
1259.621259011358688 1543.069393038535054
1259.857965497940086 1880.936669065026081
1160.858250681903883 2605.159782976183578
1204.060689010344959 3047.523924458546844
1173.576094094226846 3502.957326161565106
1134.493960322431576 3806.879037581781631
1431.718108467251341 526.519787285266148
1327.782609140549312 840.906993496081213
1455.068873534228715 1243.904483038735634
1284.406637591784374 2240.303910041107429
1413.018038949823222 3288.464833644954069
1582.147512002457233 219.572018053591762
1618.779920048506256 984.916392308364038
1669.061145237879145 1454.342391840729078
1593.546736551768390 1801.132634176749661
1647.169147358058353 2228.809444406652801
1522.004663221986220 2782.313596241299820
1604.243421409350049 3736.351535248598339
1736.012523671927966 677.438205772092715
1850.865350323827215 1986.758949205720683
1709.989190672717314 2522.530007278594894
1820.658458166742776 2884.623109267809468
1719.870071461148427 3443.267419137788693
1917.395769861471990 413.676600961745805
2044.453826658806292 725.286547902912162
1942.007732798897223 1011.402497377232748
1939.694227991978778 1315.010117524245061
1974.141971979379150 1707.389901437408071
2030.061178744822655 2447.741193835433933
2067.079582726675199 3310.581282852969707
2004.934064939788414 3626.266463891791773
2179.646724636908402 252.872752870786201
2245.008784094137354 1049.899833481091036
2271.462479306227124 1446.205547310978091
2293.371561706348984 2158.128650113271760
2306.825935126787499 3519.542881253577434
2519.774467153952628 261.509601361144917
2379.415654784429535 554.331937622225951
2475.541577616945688 840.572869990272466
2476.043563014680785 1899.998304634993701
2339.612950472340344 2872.783958149019327
2378.614132161339057 3811.790148147003492
2730.317914217624548 639.467168026725403
2572.724314778086409 1226.399585036161398
2655.022980316558005 1521.591790001650452
2728.188197885995123 2174.234694604993365
2586.770406225964507 2603.307948048502567
2590.853045407313402 3123.524678421146746
2690.746703250648352 3766.624223798042294
2944.685159164806464 314.413845611959516
2877.024285168493861 1253.406450513656864
2855.191116093809796 1756.875228330898381
2785.849472401845105 2862.506352099948344
2777.232337701218967 3385.887252061891104
2996.787104597959114 869.768898017369565
3168.874734988278306 1168.311098865096483
3063.501243006964160 1498.394310473457608
3158.102493958900141 1792.058814460257281
3180.946366567310179 2167.961248549933316
3105.541449092868334 2544.130081702748157
3099.343988986827753 2894.226972386115449
3081.634393800002272 3199.944411334442975
3150.916430616953676 3730.836460665577761
3373.022822859670669 217.414171407343190
3239.720331745455042 556.363354022317480
3392.789139100136254 1403.722328657518347
3383.192936807982733 2412.268787409454490
3429.923838312824046 869.833581723194811
3446.878849799385534 1961.666679782592610
3554.240063426591860 2759.921677939527399
3574.229712899664264 3216.278252447805698
3449.353405069703058 3552.620363086815814
3806.996231422870551 215.920130357841174
3608.134234384832780 442.725630451112409
3790.991084685705573 697.184242598208129
3808.267677620379800 1190.181128833327648
3675.153597808777704 1728.145477177868770
3712.424847378224513 2250.269954294020863
3800.674569521905141 2578.343600703689390
3807.284083172420651 2969.589225621321930
3780.380648980569276 3434.314900203188245
3700.181307336325517 3770.458853584335884
